Component Pins:
Owner   Type  Dir         Value  Name
    28  s32   OUT             0  hm2_7i94.0.0.debug
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc0.count
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc0.index-enable
    28  float OUT             0  hm2_7i94.0.7i73.0.3.enc0.position
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc0.rawcounts
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc0.reset
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc1.count
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc1.index-enable
    28  float OUT             0  hm2_7i94.0.7i73.0.3.enc1.position
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc1.rawcounts
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc1.reset
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc2.count
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc2.index-enable
    28  float OUT             0  hm2_7i94.0.7i73.0.3.enc2.position
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc2.rawcounts
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc2.reset
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc3.count
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc3.index-enable
    28  float OUT             0  hm2_7i94.0.7i73.0.3.enc3.position
    28  s32   OUT             0  hm2_7i94.0.7i73.0.3.enc3.rawcounts
    28  bit   I/O         FALSE  hm2_7i94.0.7i73.0.3.enc3.reset
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-00
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-00-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-01
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-01-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-02
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-02-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-03
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-03-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-04
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-04-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-05
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-05-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-06
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-06-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-07
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-07-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-08
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-08-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-09
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-09-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-10
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-10-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-11
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-11-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-12
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-12-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-13
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-13-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-14
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-14-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-15
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-15-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-16
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-16-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-17
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-17-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-18
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-18-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-19
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-19-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-20
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-20-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-21
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-21-not
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-22
    28  bit   OUT         FALSE  hm2_7i94.0.7i73.0.3.input-22-not
